run,setting,agent_variant,question_id,gold_answer,offline_answer,answer_extraction,answer_correct,format_issue,selected_source,source_inconsistency,original_final_prediction,original_correct,original_invalid_output,format_issues,source_consistency_issues
20260721_145822_single_full,single_full,,1,42,42,explicit_final_answer_label,True,True,,False,42,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,2,5,5,explicit_final_answer_label,True,True,,False,5,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,3,16,16,event.answer,True,True,,False,16,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,4,41,184,explicit_final_answer_label,False,True,,False,184,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,5,38,38,event.answer,True,True,,False,38,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,6,5,5,event.answer,True,True,,False,5,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,7,1200,1200,explicit_final_answer_label,True,True,,False,1200,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,8,1920,1920,explicit_final_answer_label,True,True,,False,4,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,9,45,45,event.answer,True,True,,False,45,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,10,840,5,event.answer,False,True,,False,5,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,11,520,520,event.answer,True,True,,False,520,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,12,3,3,event.answer,True,True,,False,3,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,13,28,28,explicit_final_answer_label,True,True,,False,28,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,14,768,768,explicit_final_answer_label,True,True,,False,768,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,15,100,100,event.answer,True,True,,False,100,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,16,700,20200,event.answer,False,True,,False,20200,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,17,35,45,event.answer,False,True,,False,45,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,18,200,200,event.answer,True,True,,False,200,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,19,135,135,explicit_final_answer_label,True,True,,False,135,True,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_full,single_full,,20,43,39,explicit_final_answer_label,False,True,,False,39,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,1,42,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,1,42,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,2,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,2,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,3,16,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,3,16,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,4,41,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,4,41,29,explicit_final_answer_label,False,True,,False,29,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,5,38,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,5,38,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,6,5,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,6,5,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,7,1200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,7,1200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,8,1920,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,8,1920,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,9,45,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,9,45,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,10,840,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,10,840,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,11,520,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,11,520,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,12,3,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,12,3,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,13,28,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,13,28,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,14,768,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,14,768,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,15,100,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,B,15,100,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,16,700,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,16,700,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,17,35,40,event.answer,False,True,,False,40,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,17,35,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line,
20260721_145822_single_partial,single_partial,A,18,200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,18,200,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,19,135,,explicitly_undetermined,False,True,,False,,False,False,more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,B,19,135,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
20260721_145822_single_partial,single_partial,A,20,43,,explicitly_undetermined,False,True,,False,,False,False,answer_not_on_first_line;more_than_three_reasoning_sentences,
