setting,n,correct,accuracy,semantic_correct,semantic_accuracy,format_compliant,format_compliance_rate,raw_format_compliant,raw_format_compliance_rate,normalized_format_compliant,normalized_format_compliance_rate,protocol_valid,protocol_valid_rate,answer_reason_consistent,answer_reason_consistency_rate,strict_correct,strict_accuracy,strict_answer_correct,strict_answer_accuracy,fully_valid_correct,fully_valid_accuracy
all_at_start_AB,20,5,0.25,5,0.25,19,0.95,19,0.95,20,1.0,20,1.0,0,0.0,4,0.2,4,0.2,0,0.0
all_at_start_BA,20,5,0.25,5,0.25,20,1.0,20,1.0,20,1.0,20,1.0,0,0.0,5,0.25,5,0.25,0,0.0
after_round1_AB,20,0,0.0,0,0.0,19,0.95,19,0.95,20,1.0,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0
after_round1_BA,20,0,0.0,0,0.0,19,0.95,19,0.95,20,1.0,20,1.0,1,0.05,0,0.0,0,0.0,0,0.0
before_discussion_end_AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
before_discussion_end_BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
before_finalizer_AB,20,1,0.05,1,0.05,20,1.0,20,1.0,20,1.0,20,1.0,1,0.05,1,0.05,1,0.05,0,0.0
before_finalizer_BA,20,1,0.05,1,0.05,20,1.0,20,1.0,20,1.0,20,1.0,0,0.0,1,0.05,1,0.05,0,0.0
before_final_reset_AB,20,1,0.05,1,0.05,20,1.0,20,1.0,20,1.0,20,1.0,1,0.05,1,0.05,1,0.05,0,0.0
before_final_reset_BA,20,1,0.05,1,0.05,20,1.0,20,1.0,20,1.0,20,1.0,2,0.1,1,0.05,1,0.05,0,0.0
