setting,agent_variant,question_id,audit_required,audit_reasons,gold_answer,final_answer,format_compliant,semantic_correct,strict_answer_correct,fully_valid_correct,answer_reason_consistent,reason_mathematically_valid,reason_uses_all_required_facts,judge_disagreement,auto_error_types,format_failure_categories,finalizer_selected_source,deterministic_normalizations,finalizer_reason,finalizer_raw_output,manual_format_valid,manual_semantic_correct,manual_answer_reason_consistent,manual_reason_mathematically_valid,manual_reason_uses_all_required_facts,manual_error_type,auto_manual_agreement,manual_notes
before_final_reset_AB,,1,True,answer_reason_inconsistent;judge_disagreement,42,36,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,"By adding the pages read yesterday and today, we get 12 + 24 = 36 pages. Since Julie plans to read half of the remaining pages tomorrow, we divide 36 by 2 to find out how many pages she will read tomorrow.","Selected source: recomputed
Final answer: 36
Reason: By adding the pages read yesterday and today, we get 12 + 24 = 36 pages. Since Julie plans to read half of the remaining pages tomorrow, we divide 36 by 2 to find out how many pages she will read tomorrow.",,,,,,,,
before_final_reset_AB,,2,True,answer_reason_inconsistent;judge_disagreement,5,35,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,Calculating the total amount given by parents and grandparents and subtracting what Betty already has.,"Selected source: recomputed
Final answer: 35
Reason: Calculating the total amount given by parents and grandparents and subtracting what Betty already has.",,,,,,,,
before_final_reset_AB,,3,True,answer_reason_inconsistent;judge_disagreement,16,10,True,False,False,False,False,False,False,True,correct_answer_in_reasoning_but_wrong_final_answer,,recomputed,,"By adding 2 pounds of jelly beans after tripling the initial weight, we get 6 pounds. Adding 2 more pounds of jelly beans makes it 8 pounds. Then doubling the weight gives us 16 pounds, which matches the total weight after adding gummy worms.","Selected source: recomputed  
Final answer: 10  
Reason: By adding 2 pounds of jelly beans after tripling the initial weight, we get 6 pounds. Adding 2 more pounds of jelly beans makes it 8 pounds. Then doubling the weight gives us 16 pounds, which matches the total weight after adding gummy worms.",,,,,,,,
before_final_reset_AB,,4,True,answer_reason_inconsistent;judge_disagreement,41,52,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,"By subtracting the total spent on items excluding shoes ($30 + $46 + $38 + $11 + $18 = $153) from the initial budget ($200), we find the amount spent on shoes is $27 - $153 = $52.","Selected source: recomputed  
Final answer: 52  
Reason: By subtracting the total spent on items excluding shoes ($30 + $46 + $38 + $11 + $18 = $153) from the initial budget ($200), we find the amount spent on shoes is $27 - $153 = $52.",,,,,,,,
before_final_reset_AB,,5,True,answer_reason_inconsistent;judge_disagreement,38,23,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,Calculating the total number of stamps based on the given facts.,"Selected source: recomputed
Final answer: 23
Reason: Calculating the total number of stamps based on the given facts.",,,,,,,,
before_final_reset_AB,,6,True,answer_reason_inconsistent;judge_disagreement,5,15,True,False,False,False,False,False,False,True,correct_answer_in_reasoning_but_wrong_final_answer;ignored_late_facts,,recomputed,,"Each pair of shorts costs $7, so 5 pairs cost $35. Two pairs of shoes cost $20. Subtracting these from the total spent gives $75 - $35 - $20 = $20, which is the cost per top.","Selected source: recomputed
Final answer: 15
Reason: Each pair of shorts costs $7, so 5 pairs cost $35. Two pairs of shoes cost $20. Subtracting these from the total spent gives $75 - $35 - $20 = $20, which is the cost per top.",,,,,,,,
before_final_reset_AB,,7,True,answer_reason_inconsistent;judge_disagreement,1200,1200,True,True,True,False,False,False,False,True,,,recomputed,,Calculating total sales revenue based on FACT B which states this month's total sales revenue is twice last month's revenue. Last month's total sales revenue was calculated using FACT A to find out how many paintings were sold and their respective prices.,"Selected source: recomputed
Final answer: 1200
Reason: Calculating total sales revenue based on FACT B which states this month's total sales revenue is twice last month's revenue. Last month's total sales revenue was calculated using FACT A to find out how many paintings were sold and their respective prices.",,,,,,,,
before_final_reset_AB,,8,True,answer_reason_inconsistent;judge_disagreement,1920,168,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,Calculating total practice time based on daily practice duration and weekly schedule.,"Selected source: recomputed  
Final answer: 168  
Reason: Calculating total practice time based on daily practice duration and weekly schedule.",,,,,,,,
before_final_reset_AB,,9,True,answer_reason_inconsistent;judge_disagreement,45,30,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,Calculating the time for the third part based on the total time and the ratio given in FACT A.,"Selected source: recomputed
Final answer: 30
Reason: Calculating the time for the third part based on the total time and the ratio given in FACT A.",,,,,,,,
before_final_reset_AB,,10,True,answer_reason_inconsistent;judge_disagreement,840,160,True,False,False,False,False,False,False,True,ignored_late_facts,,recomputed,,Calculating total earnings based on hourly rates and hours worked at each job.,"Selected source: recomputed
Final answer: $160
Reason: Calculating total earnings based on hourly rates and hours worked at each job.",,,,,,,,
