setting,agent_variant,question_id,audit_required,audit_reasons,gold_answer,final_answer,format_compliant,semantic_correct,strict_answer_correct,fully_valid_correct,answer_reason_consistent,reason_mathematically_valid,reason_uses_all_required_facts,judge_disagreement,auto_error_types,format_failure_categories,finalizer_selected_source,deterministic_normalizations,finalizer_reason,finalizer_raw_output,manual_format_valid,manual_semantic_correct,manual_answer_reason_consistent,manual_reason_mathematically_valid,manual_reason_uses_all_required_facts,manual_error_type,auto_manual_agreement,manual_notes
after_round1_AB,,1,True,format_failure;answer_reason_inconsistent;judge_disagreement,42,,False,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,extra_text_outside_three_lines,none,removed_blank_lines_between_fields;recomputed_undetermined_to_none,No sufficient information provided to determine the number of pages Julie should read tomorrow.,"Selected source: recomputed  
Final answer: undetermined  

Reason: No sufficient information provided to determine the number of pages Julie should read tomorrow.",,,,,,,,
after_round1_AB,,2,True,answer_reason_inconsistent;judge_disagreement,5,45,True,False,False,False,False,False,False,True,correct_answer_in_reasoning_but_wrong_final_answer;ignored_late_facts;carried_forward_early_wrong_conclusion,,recomputed,,"Betty received $15 + $30 = $45 from her parents and grandparents combined. Since she wanted $100 and had $50 initially, she still needs $50 - $45 = $5 more.","Selected source: recomputed
Final answer: 45
Reason: Betty received $15 + $30 = $45 from her parents and grandparents combined. Since she wanted $100 and had $50 initially, she still needs $50 - $45 = $5 more.",,,,,,,,
after_round1_AB,,3,True,answer_reason_inconsistent;judge_disagreement,16,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No sufficient information provided to determine the final weight of the box.,"Selected source: recomputed  
Final answer: undetermined  
Reason: No sufficient information provided to determine the final weight of the box.",,,,,,,,
after_round1_AB,,4,True,answer_reason_inconsistent;judge_disagreement,41,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No specific details about the total cost or remaining balance were provided.,"Selected source: recomputed  
Final answer: undetermined  
Reason: No specific details about the total cost or remaining balance were provided.",,,,,,,,
after_round1_AB,,5,True,answer_reason_inconsistent;judge_disagreement,38,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No sufficient information provided to determine the total number of stamps Bella buys.,"Selected source: recomputed  
Final answer: undetermined  
Reason: No sufficient information provided to determine the total number of stamps Bella buys.",,,,,,,,
after_round1_AB,,6,True,answer_reason_inconsistent;judge_disagreement,5,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No specific information provided about the cost of tops.,"Selected source: recomputed  
Final answer: undetermined  
Reason: No specific information provided about the cost of tops.",,,,,,,,
after_round1_AB,,7,True,answer_reason_inconsistent;judge_disagreement,1200,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No specific information about Noah's sales revenue for this month is provided. More details are needed to calculate the exact amount.,"Selected source: recomputed  
Final answer: undetermined  
Reason: No specific information about Noah's sales revenue for this month is provided. More details are needed to calculate the exact amount.",,,,,,,,
after_round1_AB,,8,True,answer_reason_inconsistent;judge_disagreement,1920,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,"No specific daily practice time for piano and violin, nor number of days practiced weekly provided.","Selected source: recomputed  
Final answer: undetermined  
Reason: No specific daily practice time for piano and violin, nor number of days practiced weekly provided.",,,,,,,,
after_round1_AB,,9,True,answer_reason_inconsistent;judge_disagreement,45,40,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion,,recomputed,,"By adding up the time for the first two parts and subtracting from the total time, we get the time for the third part.","Selected source: recomputed  
Final answer: 40  
Reason: By adding up the time for the first two parts and subtracting from the total time, we get the time for the third part.",,,,,,,,
after_round1_AB,,10,True,answer_reason_inconsistent;judge_disagreement,840,,True,False,False,False,False,False,False,True,ignored_late_facts;carried_forward_early_wrong_conclusion;unable_to_judge,,none,recomputed_undetermined_to_none,No sufficient information provided to calculate weekly earnings.,"Selected source: recomputed
Final answer: undetermined
Reason: No sufficient information provided to calculate weekly earnings.",,,,,,,,
