setting,agent_variant,question_id,audit_required,audit_reasons,gold_answer,final_answer,format_compliant,semantic_correct,strict_answer_correct,fully_valid_correct,answer_reason_consistent,reason_mathematically_valid,reason_uses_all_required_facts,judge_disagreement,auto_error_types,format_failure_categories,finalizer_selected_source,deterministic_normalizations,finalizer_reason,finalizer_raw_output,manual_format_valid,manual_semantic_correct,manual_answer_reason_consistent,manual_reason_mathematically_valid,manual_reason_uses_all_required_facts,manual_error_type,auto_manual_agreement,manual_notes
single_full,,1,True,format_failure,42,42,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,2,True,format_failure,5,5,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,3,True,format_failure,16,16,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
single_full,,4,True,format_failure,41,31,False,False,False,False,True,False,False,False,unable_to_judge,field_order_error,,,,,,,,,,,,
single_full,,5,True,format_failure,38,38,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,6,True,format_failure,5,5,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,7,True,format_failure,1200,1200,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,8,True,format_failure,1920,1920,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,9,True,format_failure,45,45,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,10,True,format_failure,840,840,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,11,True,format_failure,520,520,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
single_full,,12,True,format_failure,3,3,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
single_full,,13,True,format_failure,28,28,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,14,True,format_failure,768,768,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
single_full,,15,True,format_failure,100,100,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,16,True,format_failure,700,700,False,True,False,False,True,False,False,False,,field_order_error,,,,,,,,,,,,
single_full,,17,True,format_failure,35,5,False,False,False,False,True,False,False,False,unable_to_judge,missing_field,,,,,,,,,,,,
single_full,,18,True,format_failure,200,200,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
single_full,,19,True,format_failure,135,180,False,False,False,False,True,False,False,False,unable_to_judge,missing_field,,,,,,,,,,,,
single_full,,20,True,format_failure,43,43,False,True,False,False,True,False,False,False,,missing_field,,,,,,,,,,,,
